speaker_00,00:00.000,00:03.320,沈总好
SPEAKER_00,00:03.320,00:05.080,大家资产的各位领导同事好
SPEAKER_00,00:05.080,00:09.120,然后今天是因为我们中国电力清洁能源基金这个项目
SPEAKER_00,00:09.120,00:11.800,现在我们引进了大家资产
SPEAKER_00,00:11.800,00:13.440,作为我们的一个投资人
SPEAKER_00,00:13.440,00:17.160,然后大家资产对于我们整个项目也是非常的支持
SPEAKER_00,00:17.160,00:19.600,今天组织线上访谈
SPEAKER_00,00:19.600,00:24.000,也是想由大家资产的领导同事跟我们中国电力
SPEAKER_00,00:24.000,00:26.640,这边有一个电话的沟通
SPEAKER_00,00:26.640,00:29.080,然后了解一些我们中国电力的一些情况
SPEAKER_00,00:29.120,00:32.360,以便于后期整个项目的推进跟审批
SPEAKER_00,00:32.360,00:37.440,今天参会的主要是我们大家资产的投资团队
SPEAKER_00,00:37.440,00:41.960,以及性平风控等审核团队的相关领导同事
SPEAKER_00,00:41.960,00:43.600,然后中国电力这边参会的
SPEAKER_00,00:43.600,00:46.840,是我们中国电力财务部的副总经理沈海芳沈总
SPEAKER_00,00:46.840,00:52.400,因为中国电力本周要在香港召开业绩发布会
SPEAKER_00,00:52.400,00:56.200,所以说财务部的相关同事很多都去香港了
SPEAKER_00,00:56.240,00:58.520,包括说沈总本人现在也是在外地
SPEAKER_00,00:58.520,01:01.200,参加集团组织的相关培训
SPEAKER_00,01:01.200,01:05.320,所以说也是通过一个线上的方式进行一个访谈
SPEAKER_00,01:06.120,01:07.880,这是我简单介绍一下背景
SPEAKER_00,01:08.400,01:14.320,那余总咱要不下边这边就根据咱们性平相关同事的意见
SPEAKER_00,01:14.320,01:16.080,咱们可以跟沈总做一个沟通
SPEAKER_00,01:16.080,01:17.080,然后因为有些问题
SPEAKER_00,01:17.080,01:19.160,因为沈总现在他可能在外地参加培训
SPEAKER_00,01:19.160,01:21.960,可能手头有些资料或者说一些数据
SPEAKER_00,01:21.960,01:24.600,可能不是掌握的特别及时跟全面
SPEAKER_00,01:24.720,01:27.680,然后我们后续可以线下给您这边补充过来
SPEAKER_02,01:30.480,01:32.080,乔经理我先问一下
SPEAKER_02,01:32.320,01:35.560,就是昨天我们做的那个访谈
SPEAKER_02,01:35.560,01:38.440,是跟今天这一家是一家吗
SPEAKER_02,01:38.440,01:39.920,还是另外一家
SPEAKER_00,01:40.400,01:42.040,昨天我们是另一个投资人
SPEAKER_00,01:42.040,01:43.720,今天是大家资产
SPEAKER_00,01:44.200,01:45.960,然后因为我们现在这个
SPEAKER_00,01:45.960,01:50.120,因为中国电力的信用水平也很受保险资金的认可
SPEAKER_00,01:50.280,01:54.080,所以说投资人对我们的整个项目也很感兴趣
SPEAKER_00,01:54.600,01:56.160,今天我们是大家资产
SPEAKER_02,01:57.200,01:58.960,嗯好的
SPEAKER_00,02:03.240,02:05.480,余总您看要不咱们这边就现在开始
SPEAKER_06,02:07.200,02:07.840,好的
SPEAKER_06,02:07.840,02:09.920,谷老师你那边先开始吧
SPEAKER_04,02:10.160,02:11.120,好嘞
SPEAKER_04,02:11.120,02:12.800,先谢谢沈总也谢谢乔总
SPEAKER_04,02:12.800,02:17.120,特别谢谢沈总百忙之中参加我们这次电话的访谈
SPEAKER_04,02:17.480,02:20.600,我是大家资产信用评估部的谷世平
SPEAKER_04,02:21.600,02:25.960,然后沈总咱们是明计划是明天发布去年的全年的业绩是吧
SPEAKER_02,02:27.720,02:30.440,对他们那个
SPEAKER_02,02:30.440,02:34.000,对他们这一次应该是领导们都去香港了
SPEAKER_04,02:34.120,02:37.520,对然后大概的这个上午还是
SPEAKER_04,02:37.520,02:40.200,这个收盘之后发布
SPEAKER_02,02:40.200,02:43.000,我们具体我倒不太清楚这一块
SPEAKER_02,02:43.000,02:46.000,因为我这一周都在外面培培训
SPEAKER_02,02:46.000,02:47.160,嗯
SPEAKER_04,02:47.160,02:48.680,哦好嘞好嘞
SPEAKER_04,02:48.800,02:52.000,然后就是我这边的问题应该主要还都是
SPEAKER_04,02:52.000,02:57.560,集中于这个中国电力本身它的这个资质啊
SPEAKER_04,02:57.560,03:00.240,经营这块的这个相关的问题
SPEAKER_04,03:00.240,03:01.880,首先第一个
SPEAKER_04,03:01.880,03:03.600,首先第一个就是
SPEAKER_04,03:03.600,03:06.640,公司一般就从内部管理上讲
SPEAKER_04,03:06.640,03:07.480,嗯
SPEAKER_04,03:07.840,03:10.880,会关就是装在装机规模这一块的话
SPEAKER_04,03:10.880,03:12.480,会关心的是
SPEAKER_04,03:12.480,03:15.720,合并报表口径的装机还是
SPEAKER_04,03:15.720,03:18.440,总的这种所谓的合并装机
SPEAKER_04,03:18.440,03:20.320,还是这个全一装机
SPEAKER_04,03:20.320,03:22.920,这几个指标公司会更关注哪一个
SPEAKER_02,03:24.360,03:26.320,嗯你讲的
SPEAKER_02,03:26.320,03:30.040,我的理解应该是在合并口径的吧
SPEAKER_02,03:30.440,03:32.760,就是一个是上市口径的
SPEAKER_02,03:32.760,03:35.640,对集团来说呢我们还有一个全口径的
SPEAKER_02,03:35.840,03:36.960,可能全口径的
SPEAKER_02,03:36.960,03:40.080,包括我还有代管的一些境外的一些项目
SPEAKER_02,03:40.080,03:42.880,机组和我中电新能源还有一些
SPEAKER_02,03:43.240,03:45.400,嗯就是我实际上分为两个
SPEAKER_02,03:45.400,03:46.760,一个是考核口径
SPEAKER_02,03:46.920,03:49.080,然后还有一个是那个
SPEAKER_02,03:49.080,03:51.120,呃就是我们上市口径的
SPEAKER_04,03:51.840,03:54.240,考核口径其实就是内部管理的了
SPEAKER_04,03:54.240,03:56.600,然后上市口径其实就是相当于
SPEAKER_04,03:56.600,03:57.600,中国电力的
SPEAKER_04,03:57.600,04:00.040,上市公司表内的
SPEAKER_04,04:00.040,04:04.120,就并表的这些口径的这个装机是吧
SPEAKER_04,04:04.640,04:05.120,对
SPEAKER_04,04:05.280,04:06.400,好明白
SPEAKER_04,04:06.400,04:08.000,然后
SPEAKER_04,04:08.360,04:11.120,第二个问题就是关于因为咱们是火电为主
SPEAKER_04,04:11.120,04:15.360,所以想了解的是咱们整个火电的
SPEAKER_04,04:15.400,04:18.880,这个采购端它的这个长斜煤的这种
SPEAKER_04,04:18.880,04:22.320,采购的比例能够占到整个煤炭采购的比例
SPEAKER_04,04:22.760,04:23.680,是多少
SPEAKER_04,04:23.680,04:26.960,第二个就是在上网这一端
SPEAKER_04,04:26.960,04:30.480,那这个市场电跟这个计划电的这种
SPEAKER_04,04:30.480,04:31.840,比例以及限制
SPEAKER_04,04:31.840,04:33.440,还有这个决策机制是什么
SPEAKER_04,04:33.440,04:34.560,就是
SPEAKER_02,04:34.560,04:37.760,这一块这一块这样吧
SPEAKER_02,04:37.760,04:40.600,就是乔经理你要么看看这个问题是
SPEAKER_02,04:40.600,04:42.640,你事后再给我们
SPEAKER_02,04:42.640,04:45.240,我们可能要跟专业部门再碰一下
SPEAKER_02,04:45.680,04:48.400,从专业部门那边拿一些数据
SPEAKER_02,04:48.400,04:49.960,现在是这样的
SPEAKER_02,04:49.960,04:51.320,就是各家电厂
SPEAKER_02,04:51.320,04:53.760,我只能说是各家电厂的一些情况
SPEAKER_02,04:53.760,04:56.000,但整体数据我可能要跟我们
SPEAKER_02,04:56.000,04:59.120,就蓝管中心那边要相关的一些数据
SPEAKER_02,04:59.120,05:01.840,你刚才包括你说到的这个
SPEAKER_02,05:01.840,05:04.520,长斜煤的一个情况和
SPEAKER_02,05:04.520,05:07.600,那个就是我们营销这一块
SPEAKER_02,05:07.600,05:11.520,那么现在那一块实际上是没有计划电了
